TIMESTAMP;SW_BELOW;SW_IN
201406292115;0;0
201406292130;0;0
201406292145;0;0
201406292200;0;0
201406292215;0;0
201406292230;0;0
201406292245;0;0
201406292300;0;0
201406292315;0;0
201406292330;0;0
201406292345;0;0
201406300000;0;0
201406300015;0;0
201406300030;0;0
201406300045;0;0
201406300100;0;0
201406300115;0;0
201406300130;0;0
201406300145;0;0
201406300200;0;0
201406300215;0;0
201406300230;0;0
201406300245;0;0
201406300300;0;0
201406300315;0;0
201406300330;0;0
201406300345;0;0
201406300400;0;0
201406300415;0;0
201406300430;0;0
201406300445;8;1
201406300500;10;8
201406300515;13;29
201406300530;18;56
201406300545;25;92
201406300600;51;135
201406300615;86;178
201406300630;102;223
201406300645;129;271
201406300700;159;318
201406300715;187;367
201406300730;222;417
201406300745;255;466
201406300800;280;514
201406300815;288;561
201406300830;390;606
201406300845;454;649
201406300900;473;691
201406300915;399;730
201406300930;508;768
201406300945;493;805
201406301000;574;836
201406301015;603;862
201406301030;615;886
201406301045;630;909
201406301100;640;930
201406301115;651;946
201406301130;657;957
201406301145;662;968
201406301200;678;974
201406301215;669;984
201406301230;673;965
201406301245;658;985
201406301300;757;978
201406301315;670;975
201406301330;642;937
201406301345;641;967
201406301400;678;926
201406301415;745;905
201406301430;558;780
201406301445;473;723
201406301500;449;726
201406301515;407;709
201406301530;337;563
201406301545;415;644
201406301600;286;673
201406301615;256;555
201406301630;266;467
201406301645;152;293
201406301700;146;321
201406301715;120;276
201406301730;152;359
201406301745;99;242
201406301800;64;148
201406301815;56;117
201406301830;47;107
201406301845;31;76
201406301900;23;61
201406301915;13;23
201406301930;9;7
201406301945;8;3
201406302000;0;0
201406302015;0;0
201406302030;0;0
201406302045;0;0
201406302100;0;0
201406302115;0;0
201406302130;0;0
201406302145;0;0
201406302200;0;0
201406302215;0;0
201406302230;0;0
201406302245;0;0
201406302300;0;0
201406302315;0;0
201406302330;0;0
201406302345;0;0
201407010000;0;0
201407010015;0;0
201407010030;0;0
201407010045;0;0
201407010100;0;0
201407010115;0;0
201407010130;0;0
201407010145;0;0
201407010200;0;0
201407010215;0;0
201407010230;0;0
201407010245;0;0
201407010300;0;0
201407010315;0;0
201407010330;0;0
201407010345;0;0
201407010400;0;0
201407010415;0;0
201407010430;0;0
201407010445;8;1
201407010500;10;8
201407010515;14;28
201407010530;18;55
201407010545;24;76
201407010600;43;118
201407010615;62;134
201407010630;91;195
201407010645;133;272
201407010700;157;319
201407010715;188;366
201407010730;217;414
201407010745;239;476
201407010800;268;507
201407010815;293;551
201407010830;390;596
201407010845;447;642
201407010900;464;684
201407010915;371;724
201407010930;461;762
201407010945;499;796
201407011000;605;829
201407011015;604;859
201407011030;615;887
201407011045;638;911
201407011100;640;934
201407011115;652;952
201407011130;659;965
201407011145;664;976
201407011200;675;979
