TIMESTAMP;SW_IN;SW_BELOW
201908010500;-1;0
201908010515;2;1
201908010530;10;3
201908010545;34;8
201908010600;78;17
201908010615;120;27
201908010630;160;39
201908010645;196;53
201908010700;237;79
201908010715;288;99

