TIMESTAMP;SW_BELOW_ROWS;SW_BELOW_ORIG-CLUMPED;SW_BELOW_NON-CLUMPED
201306120700;165.075920053185;67.54780817443293;102.92773280996002
201306120715;203.40546058387815;78.31900618656084;125.66710031076633
201306120730;242.8682106059207;92.95823853025614;150.57325342658436
201306120745;295.17579949577555;110.77190581583204;180.26365387766793
201306120800;403.14669114681334;136.7189524724661;230.2417311131568
201306120815;295.6519479154981;169.25692391559164;207.91975488145476
201306120830;163.10143492533166;133.44590102730848;140.47202506782952
201306120845;214.12354415292413;172.93387923660816;178.89875871311395
201306120900;360.6321789284956;274.10539057857505;274.19846160241667
201306120915;474.96773133875183;370.1548791718858;347.02459306600605
201306120930;485.17906575722094;409.8368757866941;366.6264948313964
201306120945;503.56972623905693;451.2485246209152;389.45109003832073
201306121000;518.0906884745814;486.07889569985764;409.12899242890353
201306121015;535.1667684937189;519.8409703549751;429.400310038911
201306121030;553.7738807522567;552.3432860937137;449.7975541205432
201306121045;565.2786767271446;575.2111745626918;464.6868694067474
201306121100;571.8604188854158;590.4577917797843;475.2074738963066
201306121115;579.9632797937285;605.194318123634;485.6681049804155
201306121130;586.3571055947051;616.3944954324764;493.9057772251201
201306121145;591.0398331505861;624.3273403835053;499.90677566000977
201306121200;597.2115717545877;632.7659313324884;505.94088003793263
201306121215;604.977775791158;641.9943312577135;512.074176639879
201306121230;608.9606918487775;646.0323340526149;514.4469922798124
201306121245;609.0686205691325;644.6914665813584;512.9813760790623
201306121300;604.1074836226436;636.5193318801854;506.8662015415243
201306121315;602.0069283615159;630.0311343019407;501.59372321171224
201306121330;600.6927709614604;622.4675868744316;495.5889570906605
201306121345;594.3059677918995;607.0908743621067;484.9037263960801
201308051445;485.104825594616;418.3117527082692;374.83606506150915
201308051500;461.97621565605505;368.7182012619705;348.4477309397097
201308051515;439.46909453288606;317.795108351405;321.7321167375162
201308051530;417.49651214318413;266.6300192589123;294.63633860389376
201308051545;393.7987278935001;216.76735577124762;266.346781108366
201308051600;368.2985278058743;171.510029381694;237.26327732096385
201308051615;340.8926971013227;133.710691273089;207.8910303919422
